symbol,industry_name,industry_code,updated_at,source
002578.SZ,有色金属冶炼和压延加工业,C32,2026-03-18T23:31:21.319650,cninfo_industry_change
002588.SZ,化学原料和化学制品制造业,C26,2026-03-18T23:31:21.342176,cninfo_industry_change
002589.SZ,批发业,F51,2026-03-18T23:31:21.451604,cninfo_industry_change
002592.SZ,汽车制造业,C36,2026-03-18T23:31:21.520575,cninfo_industry_change
002590.SZ,汽车制造业,C36,2026-03-18T23:31:21.521575,cninfo_industry_change
002591.SZ,涂料油墨,15104020,2026-03-18T23:31:21.524575,cninfo_industry_change
002584.SZ,电子化学品,45204010,2026-03-18T23:31:21.554999,cninfo_industry_change
002594.SZ,汽车制造业,C36,2026-03-18T23:31:21.583938,cninfo_industry_change
002585.SZ,面板,45203010,2026-03-18T23:31:21.660190,cninfo_industry_change
002595.SZ,专用设备制造业,C35,2026-03-18T23:31:21.689144,cninfo_industry_change
002423.SZ,保险业,J68,2026-03-18T23:31:21.699232,cninfo_industry_change
002430.SZ,其他化学制品,S220309,2026-03-18T23:31:21.718395,cninfo_industry_change
002598.SZ,通用设备制造业,C34,2026-03-18T23:31:21.731918,cninfo_industry_change
002596.SZ,非金属矿物制品业,C30,2026-03-18T23:31:21.769536,cninfo_industry_change
002597.SZ,食品制造业,C14,2026-03-18T23:31:21.778136,cninfo_industry_change
002422.SZ,医药制造业,C27,2026-03-18T23:31:21.824996,cninfo_industry_change
002600.SZ,电子设备与仪器,Z08020201,2026-03-18T23:31:21.825996,cninfo_industry_change
002601.SZ,化学原料和化学制品制造业,C26,2026-03-18T23:31:21.881445,cninfo_industry_change
002602.SZ,互联网和相关服务,I64,2026-03-18T23:31:21.898393,cninfo_industry_change
002605.SZ,互联网和相关服务,I64,2026-03-18T23:31:21.934739,cninfo_industry_change
002606.SZ,电气机械和器材制造业,C38,2026-03-18T23:31:21.968044,cninfo_industry_change
002608.SZ,电力、热力生产和供应业,D44,2026-03-18T23:31:21.980268,cninfo_industry_change
002593.SZ,汽车制造业,C36,2026-03-18T23:31:21.994981,cninfo_industry_change
002611.SZ,专用设备制造业,C35,2026-03-18T23:31:22.037962,cninfo_industry_change
002609.SZ,软件和信息技术服务业,I65,2026-03-18T23:31:22.053146,cninfo_industry_change
002613.SZ,其他专用机械,20402080,2026-03-18T23:31:22.104954,cninfo_industry_change
002612.SZ,纺织服装、服饰业,C18,2026-03-18T23:31:22.117936,cninfo_industry_change
002616.SZ,生态保护和环境治理业,N77,2026-03-18T23:31:22.180503,cninfo_industry_change
002599.SZ,印刷和记录媒介复制业,C23,2026-03-18T23:31:22.196942,cninfo_industry_change
002622.SZ,医疗保健机构与服务,Z06010201,2026-03-18T23:31:22.248669,cninfo_industry_change
002444.SZ,金属制品业,C33,2026-03-18T23:31:22.279241,cninfo_industry_change
002603.SZ,医药制造业,C27,2026-03-18T23:31:22.304519,cninfo_industry_change
002620.SZ,建筑装饰、装修和其他建筑业,E50,2026-03-18T23:31:22.306709,cninfo_industry_change
002607.SZ,教育,P83,2026-03-18T23:31:22.317070,cninfo_industry_change
002623.SZ,非金属矿物制品业,C30,2026-03-18T23:31:22.355301,cninfo_industry_change
002624.SZ,互联网和相关服务,I64,2026-03-18T23:31:22.361826,cninfo_industry_change
002615.SZ,金属制品业,C33,2026-03-18T23:31:22.412627,cninfo_industry_change
002625.SZ,铁路、船舶、航空航天和其他运输设备制造业,C37,2026-03-18T23:31:22.419112,cninfo_industry_change
002629.SZ,其他专业工程,Z03020104,2026-03-18T23:31:22.541681,cninfo_industry_change
002630.SZ,通用设备制造业,C34,2026-03-18T23:31:22.542681,cninfo_industry_change
002631.SZ,建筑产品,20203010,2026-03-18T23:31:22.550451,cninfo_industry_change
002628.SZ,土木工程建筑业,E48,2026-03-18T23:31:22.562084,cninfo_industry_change
